customer_id,name,email,phone,customer_type,total_orders,successful_payments,failed_payments,lifetime_value,historical_success_rate
CUST_00139,Aditya Kamdar,dprakash@example.net,9770088600,new,5,4,1,163112.79,0.8
CUST_00140,Bhavini Badal,ggola@example.org,2339845461,returning,16,13,3,5584.81,0.812
CUST_00141,Nidra Sharaf,upkaarmital@example.net,+910166687002,new,9,6,3,29040.17,0.667
CUST_00142,Xalak Saraf,girish80@example.org,+919740148902,vip,30,29,1,191841.08,0.967
CUST_00143,Amol Johal,mitalibose@example.com,+919396856218,new,39,35,4,179730.13,0.897
CUST_00144,Chatresh Chaudhari,ekata@example.com,9965047735,returning,11,10,1,27470.64,0.909
CUST_00145,Rachana Grewal,xchada@example.net,03114262655,new,20,15,5,227052.52,0.75
CUST_00146,Gavin Ahluwalia,sai54@example.org,+911267888610,new,13,7,6,172808.3,0.538
CUST_00147,Irya Chander,lekha04@example.com,01839826224,returning,7,6,1,75744.88,0.857
CUST_00148,Amrita Tailor,devganesh@example.com,06471543799,returning,8,7,1,141700.17,0.875
CUST_00149,Tanvi Chhabra,dakshaahuja@example.com,09657569245,new,35,24,11,92957.43,0.686
CUST_00150,Varenya Murthy,mitalinagar@example.com,7935646519,returning,22,17,5,105304.66,0.773
CUST_00151,Pranit Bala,ckadakia@example.com,1672434266,returning,28,26,2,159078.48,0.929
CUST_00152,Saumya Srinivas,gwarrior@example.net,08058911352,returning,10,8,2,183581.93,0.8
CUST_00153,Mugdha Narula,acherian@example.org,03888993756,vip,18,17,1,229944.61,0.944
CUST_00154,Xiti Dora,aryan71@example.com,01125457387,returning,30,25,5,182891.04,0.833
CUST_00155,Vamakshi Chatterjee,usethi@example.org,00105123828,new,16,13,3,22122.39,0.812
CUST_00156,Ganga Sandhu,zkata@example.com,2266093796,returning,16,14,2,142677.49,0.875
CUST_00157,Aayush Kala,aryabhatnagar@example.net,+918255371478,returning,22,17,5,212812.73,0.773
CUST_00158,Lipika Ramanathan,pallindira@example.com,2499125134,new,14,9,5,64958.93,0.643
CUST_00159,Qadim Prakash,yastirama@example.com,2966278282,new,39,31,8,69429.01,0.795
CUST_00160,Bhavya Dey,divyaseshadri@example.net,+915072368876,new,13,8,5,180158.63,0.615
CUST_00161,Ojasvi Sawhney,fganesh@example.net,+913404384279,returning,16,14,2,161652.77,0.875
CUST_00162,Yasti Chowdhury,loyaljeevika@example.net,+917836134074,returning,2,2,0,55788.3,1.0
CUST_00163,Gagan Sarna,khalsashaurya@example.net,5962923309,returning,20,18,2,92570.6,0.9
CUST_00164,Avni Yohannan,ekiyamaster@example.com,4812604223,returning,23,19,4,186610.89,0.826
CUST_00165,Ekanta Kota,jsuri@example.net,4667116845,new,30,19,11,63225.22,0.633
CUST_00166,Vinaya Narang,chandertara@example.net,5186363745,new,13,9,4,185848.83,0.692
CUST_00167,Geetika De,roza@example.org,+911701277063,vip,12,11,1,184781.86,0.917
CUST_00168,Chasmum Dutt,girik54@example.org,02064361103,new,38,34,4,131396.9,0.895
CUST_00169,Faras Deo,zilmilsaxena@example.org,+915162713611,new,7,6,1,74413.49,0.857
CUST_00170,Dhriti Pillai,laksh62@example.net,2189092753,new,20,11,9,133766.7,0.55
CUST_00171,Nisha Savant,gabrielchaudhry@example.org,+919656523413,new,4,3,1,174505.64,0.75
CUST_00172,Avi Mitra,zarnaupadhyay@example.org,6403761379,new,32,19,13,3560.22,0.594
CUST_00173,Advik Patel,kevin69@example.com,08271091043,new,31,22,9,46498.74,0.71
CUST_00174,Darpan Rao,yachana66@example.net,01889241418,new,31,18,13,16803.19,0.581
CUST_00175,Nachiket Yadav,mahika91@example.com,6303161799,returning,37,32,5,13875.46,0.865
CUST_00176,Dayamai Gill,aroralaksh@example.net,+912758842524,new,37,33,4,21752.64,0.892
CUST_00177,Ayushman Nayak,hmagar@example.org,09177850792,new,36,29,7,151776.25,0.806
CUST_00178,Nakul Kumer,daliavedant@example.net,0003075622,returning,15,14,1,95404.32,0.933
CUST_00179,Oni Kapur,yuvraj65@example.com,+919518023806,vip,20,20,0,247512.8,1.0
CUST_00180,Udyati Mandal,falak18@example.com,+915349493759,new,40,23,17,240047.14,0.575
CUST_00181,Rohan Korpal,abeerrout@example.org,+918505064138,new,14,11,3,66529.21,0.786
CUST_00182,Oni Swamy,dharati@example.org,+913865719182,new,16,10,6,19228.68,0.625
CUST_00183,Falan Bhatia,pde@example.com,05655743132,new,29,23,6,117743.16,0.793
CUST_00184,Nachiket Cherian,shivanishukla@example.com,01853747411,new,19,15,4,175895.4,0.789
CUST_00185,Daksha Baria,falakdivan@example.org,3568044206,returning,15,14,1,197063.09,0.933
CUST_00186,Zaid Chandra,zchaudry@example.org,+910032365199,returning,13,11,2,136368.31,0.846
CUST_00187,Falan Bains,horasachi@example.org,+915107029667,returning,18,16,2,18316.75,0.889
CUST_00188,Lavanya Sandhu,iryakala@example.org,04720999347,new,20,15,5,206147.96,0.75
CUST_00189,Varenya Bhat,mammenleela@example.org,03838065787,vip,29,26,3,172325.16,0.897
CUST_00190,Yadavi Nagy,lmadan@example.org,09304078593,returning,18,15,3,123701.91,0.833
CUST_00191,Harish Kota,amairawalla@example.net,+913965223955,new,3,3,0,183766.21,1.0
CUST_00192,Indira Dhar,waidamore@example.org,00103930870,returning,2,2,0,240496.82,1.0
CUST_00193,Saksham De,peter50@example.org,+919218515691,returning,37,32,5,5675.99,0.865
CUST_00194,Chasmum Naidu,nakulsarkar@example.net,05289539264,returning,18,16,2,190895.7,0.889
CUST_00195,Joshua Goel,ramanbachittar@example.org,5939172513,new,34,26,8,229060.16,0.765
CUST_00196,Ekaja Ganesh,nayaksanya@example.org,03315410067,new,38,27,11,203654.11,0.711
CUST_00197,Ojas Sachdev,wradhakrishnan@example.net,01793271040,vip,31,29,2,83660.44,0.935
CUST_00198,Advika Cheema,oommenonkar@example.com,+911815997062,returning,11,9,2,173571.58,0.818
CUST_00199,Naksh Bera,narulasamesh@example.org,08844431069,new,26,22,4,137749.1,0.846
CUST_00200,Mitesh Bhagat,aarush61@example.com,9731032417,returning,21,17,4,29422.44,0.81
CUST_00201,Darika Rao,qsuresh@example.com,+918625652704,returning,33,30,3,787.19,0.909
CUST_00202,Udyati Lall,amrutabhatia@example.org,1158693806,returning,30,25,5,47301.84,0.833
CUST_00203,Vaishnavi Keer,fmistry@example.com,0898992172,new,32,25,7,190117.64,0.781
CUST_00204,Siddharth Hans,brijeshsampath@example.org,6329451168,new,36,21,15,72363.27,0.583
CUST_00205,Eshana Majumdar,yarora@example.net,9861622999,returning,32,25,7,243300.13,0.781
CUST_00206,Hitesh Chaudhuri,hemangini64@example.com,7997024629,returning,16,14,2,78032.16,0.875
CUST_00207,Balvan Randhawa,wazir07@example.com,00544471324,new,27,16,11,248068.16,0.593
CUST_00208,Ekani Luthra,mchakraborty@example.com,+916785082148,vip,30,30,0,162103.57,1.0
CUST_00209,Krishna Viswanathan,ghosereyansh@example.org,+913070534578,new,19,14,5,68719.51,0.737
CUST_00210,Jatin Balasubramanian,kashishsuresh@example.net,02798552414,returning,31,25,6,138040.64,0.806
CUST_00211,Libni Bawa,tanishkant@example.net,+913468007229,new,39,28,11,219891.9,0.718
CUST_00212,Udarsh Krishnan,anvi66@example.com,04374896910,returning,18,16,2,213675.89,0.889
CUST_00213,Barkha Misra,subramaniamdevansh@example.com,05444328309,new,33,21,12,1140.03,0.636
CUST_00214,Ekaja Dey,tankchakrika@example.com,06609935387,returning,38,33,5,165155.22,0.868
CUST_00215,Yashica Mital,pratyushmemon@example.org,02482513534,returning,29,25,4,86608.42,0.862
CUST_00216,Garima Prabhu,chaitaly71@example.com,+919991738168,returning,35,29,6,233246.64,0.829
CUST_00217,Odika Bhagat,lakshiyer@example.com,09725217525,returning,16,14,2,58773.83,0.875
CUST_00218,Aayush Seth,shaurya29@example.org,01296666760,returning,3,2,1,118507.57,0.667
CUST_00219,Ryan Prakash,nagyrayaan@example.org,0335421689,vip,25,23,2,166090.36,0.92
CUST_00220,Oliver Bhattacharyya,misrabina@example.com,8985625753,returning,10,8,2,9736.39,0.8
CUST_00221,Netra Bahl,udarshdeep@example.org,0982150648,returning,38,31,7,25540.97,0.816
CUST_00222,Chanakya Chokshi,bavajack@example.com,06184723046,returning,7,6,1,114503.55,0.857
CUST_00223,Zinal Madan,omyacheema@example.net,9141173934,returning,27,25,2,242504.22,0.926
CUST_00224,Ishita Rout,naveen08@example.com,+917530011972,new,17,11,6,173329.8,0.647
CUST_00225,Yasti Borde,kundavihaan@example.com,04701204556,returning,22,20,2,214905.87,0.909
CUST_00226,Girish Bath,devionkar@example.com,07941552166,new,21,16,5,221915.95,0.762
CUST_00227,Anita Rajan,psama@example.org,+912021697972,returning,35,27,8,17570.98,0.771
CUST_00228,Jagrati Balakrishnan,vasudhasura@example.org,07014508993,returning,19,18,1,186818.21,0.947
CUST_00229,Zilmil Virk,santyuvraj@example.com,06289002877,returning,7,6,1,176120.76,0.857
CUST_00230,Falan Swamy,wridesh54@example.org,3866317797,new,11,9,2,225904.3,0.818
CUST_00231,Wishi Sekhon,jagat70@example.org,06088019948,new,4,3,1,94022.85,0.75
CUST_00232,Tanmayi Om,chatura37@example.com,9975711305,new,34,24,10,170609.19,0.706
CUST_00233,Bishakha Vig,hitesh02@example.com,+916149331637,new,12,7,5,217774.48,0.583
CUST_00234,Hamsini Chokshi,obatra@example.net,1779827080,returning,16,14,2,145997.7,0.875
CUST_00235,Vasudha Trivedi,oscardave@example.org,09958669346,new,17,12,5,166876.76,0.706
CUST_00236,Chaitaly Sethi,lakshitsachar@example.net,8485833394,returning,30,28,2,169563.92,0.933
CUST_00237,Kevin Gokhale,jack58@example.com,9684608106,new,29,26,3,246919.1,0.897
CUST_00238,Chatresh Bhalla,amaradyal@example.com,4204380571,new,28,22,6,114480.54,0.786
CUST_00239,Lopa Khanna,champak66@example.com,5800439735,new,25,21,4,27109.99,0.84
CUST_00240,Rishi Menon,rgoel@example.org,+912816064842,new,23,17,6,248176.66,0.739
CUST_00241,Aadhya Ahluwalia,unnati20@example.org,09094798515,new,26,17,9,141699.29,0.654
CUST_00242,Qarin Verma,tiwarinathaniel@example.com,8615335554,returning,4,4,0,186420.45,1.0
CUST_00243,Vaishnavi Andra,palsanaya@example.org,9930561648,returning,19,17,2,57914.54,0.895
CUST_00244,Aryan Varughese,yoshita87@example.com,+914358112880,returning,15,13,2,155412.35,0.867
CUST_00245,Shivansh Kala,nchawla@example.net,6120750110,returning,9,8,1,225899.22,0.889
CUST_00246,Zayan Bobal,aarnareddy@example.com,06650618091,returning,20,18,2,8824.45,0.9
CUST_00247,Elijah Parmar,manncharvi@example.net,+914766072832,new,9,5,4,74130.06,0.556
CUST_00248,Chakrika Dhawan,kashvi08@example.net,+911009968814,returning,12,9,3,196734.95,0.75
CUST_00249,Hemangini Kakar,jvala@example.org,+913943129087,returning,24,21,3,228415.0,0.875
CUST_00250,Bina Bhavsar,guneet39@example.com,05231491357,returning,17,16,1,236074.86,0.941
CUST_00251,Falguni Mohan,janyamutti@example.com,+910533645257,vip,19,18,1,85009.46,0.947
CUST_00252,Sanaya Parmer,vidhi81@example.org,9142834110,new,5,3,2,241641.8,0.6
CUST_00253,Nidhi Kala,ladurmi@example.net,+915639427881,returning,26,25,1,201244.62,0.962
CUST_00254,Januja Thakkar,kharenoah@example.net,+917229927503,new,26,14,12,134374.79,0.538
CUST_00255,Vincent Bhatnagar,kala30@example.net,+918567700518,returning,17,15,2,205693.12,0.882
CUST_00256,Adya Ghosh,xradhakrishnan@example.net,1846386557,vip,7,7,0,118133.48,1.0
CUST_00257,Abeer Thaker,riagandhi@example.org,+918432225913,returning,36,29,7,152715.51,0.806
CUST_00258,Ganga Comar,esrinivas@example.org,2603029922,returning,30,28,2,75896.45,0.933
CUST_00259,Manan Bhalla,aarnagole@example.net,09904137977,returning,9,7,2,9784.43,0.778
CUST_00260,Theodore Roy,qabilvaidya@example.com,+915799136621,vip,8,7,1,221871.2,0.875
CUST_00261,Samaksh Virk,mdoctor@example.org,+917990881172,new,30,20,10,237370.5,0.667
CUST_00262,Raagini Vig,cprabhakar@example.net,6376599162,returning,35,29,6,185696.12,0.829
CUST_00263,Vansha Kaul,mandernilima@example.com,+910098180635,new,27,21,6,208506.42,0.778
CUST_00264,Janaki Chhabra,poojakulkarni@example.com,6959463688,returning,18,14,4,92947.22,0.778
CUST_00265,Praneel Prabhakar,tkulkarni@example.net,06213721386,returning,16,15,1,25288.98,0.938
CUST_00266,Charles Dyal,zahluwalia@example.org,+917961143519,returning,35,33,2,161384.29,0.943
CUST_00267,Leena Rattan,dakshesh27@example.com,+913843098839,new,18,11,7,30978.85,0.611
CUST_00268,Balendra Parsa,aadidugar@example.org,06566938011,returning,30,23,7,53420.4,0.767
CUST_00269,Ijaya Palan,upkaar93@example.com,09042681818,returning,2,2,0,83710.53,1.0
CUST_00270,Harini Dada,zashil76@example.net,03577907141,vip,37,34,3,207539.55,0.919
CUST_00271,Thomas Karpe,nitara58@example.net,+914341651827,returning,38,30,8,217489.01,0.789
CUST_00272,Irya Kamdar,qadim37@example.net,+913343333952,new,10,8,2,149197.42,0.8
CUST_00273,Jagdish Brar,wahuja@example.net,+917595794728,new,10,9,1,135283.76,0.9
CUST_00274,Mitali Kapadia,chaturavora@example.com,08085627187,returning,8,7,1,6932.15,0.875
CUST_00275,Abhiram Arora,ladlichaudhuri@example.com,09428434795,new,16,12,4,4437.38,0.75
CUST_00276,Qarin Tara,akade@example.net,05647292931,new,9,7,2,131758.34,0.778
CUST_00277,Warinder Sankaran,jhayre@example.net,+917026728857,returning,31,26,5,90828.72,0.839
CUST_00278,Zashil Batta,schaudhary@example.org,+913471754558,returning,29,25,4,236381.2,0.862
CUST_00279,Hemangini Bahri,wdara@example.net,3998245587,new,34,22,12,161013.5,0.647
CUST_00280,Farhan Raj,ubika22@example.net,06996112535,new,31,26,5,106855.27,0.839
CUST_00281,Bishakha Loke,cmadan@example.com,9876220234,new,29,17,12,20657.22,0.586
CUST_00282,Shivansh Ganesan,gchauhan@example.org,08006811492,returning,5,4,1,156267.21,0.8
CUST_00283,Madhavi More,yugmander@example.com,2282005577,returning,21,17,4,149549.27,0.81
